admin1Pcode,admin1Name_en,covid_19
KE001,Mombasa,88
KE002,Kwale,1
KE003,Kilifi,8
KE004,Tana River,0
KE005,Lamu,0
KE006,Taita Taveta,0
KE007,Garissa,0
KE008,Wajir,0
KE009,Mandera,8
KE010,Marsabit,0
KE011,Isiolo,0
KE012,Meru,0
KE013,Tharaka-Nithi,0
KE014,Embu,0
KE015,Kitui,2
KE016,Machakos,0
KE017,Makueni,0
KE018,Nyandarua,0
KE019,Nyeri,0
KE020,Kirinyaga,0
KE021,Murang'a,0
KE022,Kiambu,5
KE023,Turkana,0
KE024,West Pokot,0
KE025,Samburu,0
KE026,Trans Nzoia,0
KE027,Uasin Gishu,1
KE028,Elgeyo-Marakwet,0
KE029,Nandi,0
KE030,Baringo,0
KE031,Laikipia,0
KE032,Nakuru,2
KE033,Narok,0
KE034,Kajiado,3
KE035,Kericho,0
KE036,Bomet,0
KE037,Kakamega,1
KE038,Vihiga,0
KE039,Bungoma,0
KE040,Busia,0
KE041,Siaya,2
KE042,Kisumu,0
KE043,Homa Bay,1
KE044,Migori,0
KE045,Kisii,0
KE046,Nyamira,0
KE047,Nairobi,226
